aucsecode 경매구분코드
aucsenm 경매구분코드명
catgorycode 구부류코드
catgorynewcode 부류코드
catgorynewnm 부류명
catgorynm 구부류명
cprinsttcode 구법인코드
cprinsttnewcode 법인코드
cprmtccode 구산지코드
cpruseprdlstcode 법인사용품목코드
cpruseprdlstnm 법인사용품목명
delngde 경락일자
delngprut 거래단량
delngqy 거래량
insttnewnm 법인명
insttnm 구법인명
ledgno 경매원표번호
rnum 안나와있음.rownum약자인듯
sbidpric 거래가격
shipmntsecode 출하구분코드
shipmntsenm 출하구분명
sleseqn 일련번호
stdfrmlcnewcode 포장상태코드
stdfrmlcnewnm 포장상태명
stdmgnewcode 크기코드
stdmgnewnm 크기명
stdmtcnewcode 산지코드
stdmtcnewnm 산지명
stdprdlstcode 구품목코드
stdprdlstnewcode 품목코드
stdprdlstnewnm 품목명
stdprdlstnm 구품목명
stdqlitynewcode 등급코드
stdqlitynewnm 등급명
stdspciescode 구품종코드
stdspciesnewcode 품종코드
stdspciesnewnm 품종명
stdspciesnm 구품종명
stdunitnewcode 단위코드
stdunitnewnm 단위명
whsalmrktcode 구시장코드
whsalmrktnewcode 시장코드
whsalmrktnewnm 시장명
whsalmrktnm 구시장명
