yyyy,mm,kgperprice,totalprice,totalweight
2008,01,346.7977528089888,648148.3146067415,1822.4719101123596
2008,02,367.38188976377955,741763.7795275591,2050.551181102362
2008,03,397.22527472527474,851157.1428571428,2233.8901098901097
2008,04,389.52334630350197,715991.8287937744,1897.3735408560312
2008,05,295.8234126984127,677100.3571428572,2441.0642857142857
2008,06,284.39628482972137,650447.0588235294,2490.0681114551085
2008,07,270.9163701067616,588754.4483985765,2374.633451957295
2008,08,427.28215767634856,858319.5020746888,2087.161825726141
2008,09,368.5379061371841,679417.3285198556,1884.7653429602888
2008,10,271.015625,468227.6785714286,1724.8035714285713
2008,11,279.08404154863075,512066.00566572236,1849.9915014164305
2008,12,281.5988455988456,565711.5151515151,2042.4848484848485
2009,01,282.83760683760687,1496986.8376068375,5286.615384615385
2009,02,314.38235294117646,1827224.7794117648,5784.39705882353
2009,03,515.7062647754137,3170750.4137115837,6053.144208037825
2009,04,1071.1986754966888,7005314.370860927,6558.728476821192
2009,05,641.6602390005432,3667650.266159696,5184.516349809886
2009,06,299.5683679899181,1639505.7025834909,5268.9098928796475
2009,07,341.44223412394797,1910921.805661821,5415.715378729916
2009,08,497.3384168482208,2695046.9498910676,5139.389978213508
2009,09,478.1367041198502,2795607.326779026,5654.014513108615
2009,10,343.13704496788006,1865079.1220556744,5291.327623126338
2009,11,256.50750833669633,1390449.2427943333,5212.033219345383
2009,12,263.3198198198198,1434339.189189189,5161.684684684685
2010,01,378.6027244078479,1868387.4656907595,4466.475754803294
2010,02,580.9216589861751,2926069.4470046083,4683.059907834101
2010,03,856.9355648535565,4246029.246861924,4662.108786610878
2010,04,1028.7142857142858,5305067.18487395,4878.252100840336
2010,05,690.0927351304506,3647322.485632184,4928.2614942528735
2010,06,431.4987814784728,2373695.247766044,5298.399675060926
2010,07,638.2162800687285,3443130.831185567,5127.677835051546
2010,08,625.332383665717,3615473.4567901236,5646.714150047484
2010,09,886.1738791423002,4827132.651072125,5428.810916179337
2010,10,942.1865671641791,4587280.186567164,4757.5
2010,11,705.95194743612,3443093.0305626965,4520.098686089688
2010,12,778.1304035798717,3902924.840425532,4610.440425531915
2011,01,993.857421875,4922732.747395833,4548.337239583333
2011,02,892.2138836772983,4589496.904315197,4883.621013133208
2011,03,926.992,5202236.64,5396.176
2011,04,584.6322241681261,3289693.520140105,5320.77057793345
2011,05,243.43481654957066,1494959.3676814989,6149.44262295082
2011,06,218.74135546334716,1391186.7911479946,6261.507607192255
2011,07,502.08469360951625,2790024.527186761,5314.017730496454
2011,08,803.9894373349582,4576554.966483851,5364.594759293114
2011,09,664.8232638888888,4016566.1458333335,5926.915277777778
2011,10,404.1633518960488,2475557.199681782,5983.154335719968
2011,11,251.35669781931463,1446369.0342679129,5586.741433021807
2011,12,228.89976415094338,1355749.9528301887,5784.976415094339
2012,01,240.0166083916084,1366347.5524475526,5457.433566433567
2012,02,401.0332147093713,2029062.502965599,4831.0604982206405
2012,03,665.7265446224256,3320587.5629290617,4712.2700228832955
2012,04,892.9843106180665,4352264.711568939,4796.662440570523
2012,05,455.73333333333335,2487858.1904761903,5420.765714285714
2012,06,381.4630044843049,1932394.5067264575,4896.374439461883
2012,07,549.0079979360164,2970733.1269349847,5300.294117647059
2012,08,648.1040462427745,3470829.710982659,5162.624277456647
2012,09,893.5145888594164,4830576.923076923,5201.73474801061
2012,10,731.9860895445134,3666333.759057971,4874.869565217391
2012,11,588.8467792370232,3024080.487804878,4900.207629768605
2012,12,751.1723845260432,3686165.196998124,4709.036585365854
2013,01,831.085237258348,3972165.553602812,4581.068541300528
2013,02,857.9228329809725,3910732.241014799,4296.473572938689
2013,03,863.8104761904762,3785277.904761905,4287.184761904762
2013,04,768.4326424870467,4177030.6994818654,5317.222797927461
2013,05,517.2032085561498,2727150.695187166,5005.090909090909
2013,06,392.6359251213902,1978446.4221824687,4840.914132379248
2013,07,481.73281990521326,2424771.0308056874,4792.537914691943
2013,08,996.1978579481398,5405719.16572717,5206.870349492672
2013,09,873.2937853107345,4804404.406779661,5336.9672316384185
2013,10,377.4253034547152,2034373.7161531278,5285.032679738562
2013,11,430.76113095238094,2196731.8463541665,4779.680729166666
2013,12,395.37315656189486,1874297.1324296142,4459.470281543274
2014,01,341.1305361305361,1344373.076923077,3488.2097902097903
2014,02,284.24242424242425,801515.1515151515,2862.121212121212
2014,03,261.70454545454544,553869.3181818182,2080.681818181818
2014,04,244.41860465116278,557304.6511627907,2220.813953488372
2014,05,246.4814814814815,575433.3333333334,2288.3333333333335
2014,06,330.7042253521127,670895.7746478873,2279.718309859155
2014,07,461.8333333333333,971300.0,2114.1666666666665
2014,08,563.8461538461538,1354707.6923076923,2363.846153846154
2014,09,568.8004926108374,3506404.1256157635,6022.339901477832
2014,10,327.0253164556962,2128500.8438818567,6408.654008438819
2014,11,285.6086598632907,1819767.8973717147,6276.10043804756
2014,12,264.06958287190844,1751523.588039867,6548.055370985604
2015,01,258.38461538461536,1565888.6217948718,5810.6858974358975
2015,02,305.17029972752044,1777580.9945504088,5565.4223433242505
2015,03,376.2358276643991,2146186.7346938774,5363.011535048802
2015,04,387.43884220354806,2192708.73015873,5360.476190476191
2015,05,749.2839826839827,4164629.757575758,5145.852813852814
2015,06,574.2857142857143,3175068.839285714,5146.119047619048
2015,07,530.9235668789809,2803959.0536851683,4861.901728844404
